date,location,cases,deaths,tests,percent_positivity,CFR,sequences,sequencing_rate,sero_study_participants,avg_seroprevalence,ICL_estimate_mean,IHME_estimate_mean,LSHTM_estimate_median,YYG_estimate_mean,sequence_contribution,estimate_contribution,ideal_sequences,case_contribution,apparent_sequences
2020-01,Argentina,0.0,0.0,432.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Asia,9333.0,196.0,0.0,NaN,0.021000750026786672,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Australia,9.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,1.61,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Cambodia,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Canada,4.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,China,9254.0,196.0,0.0,NaN,0.02118003025718608,NaN,NaN,186.0,0.5,175749.37000000002,0.0,10263.912725680742,1057463.0,NaN,NaN,NaN,NaN,NaN
2020-01,China,9254.0,196.0,0.0,NaN,0.02118003025718608,NaN,NaN,580.0,2.6,175749.37000000002,0.0,10263.912725680742,1057463.0,NaN,NaN,NaN,NaN,NaN
2020-01,Europe,17.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,European Union,13.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Fiji,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Finland,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,France,5.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,6171.0,NaN,NaN,NaN,NaN,NaN
2020-01,Germany,5.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Hong Kong,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-01,India,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
2020-01,Italy,2.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,48.98,0.0,0.0,4080.0,NaN,NaN,NaN,NaN,NaN
2020-01,Japan,13.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,132.38,0.0,0.0,503.0,NaN,NaN,NaN,NaN,NaN
2020-01,Malaysia,8.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,5.3100000000000005,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN
