Entity,Code,Day,"Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new estimated infections of COVID-19 (LSHTM, lower)","Daily new estimated infections of COVID-19 (LSHTM, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Afghanistan,AFG,2020-03-26,68.9920554190085,25.6130450965727,186.796195238378,
Afghanistan,AFG,2020-03-27,69.80116591761,26.0272794756425,186.225519204464,
Afghanistan,AFG,2020-03-28,89.176932025364,33.4216027286723,233.701425868846,
Afghanistan,AFG,2020-03-29,110.163728294147,41.4656386769385,284.102678439867,13
Afghanistan,AFG,2020-03-30,108.333175792121,41.1352932904245,274.436578914613,
Afghanistan,AFG,2020-03-31,137.632212590392,52.6552867767763,342.290191061821,
Afghanistan,AFG,2020-04-01,169.735217288433,65.6010551021844,414.78904659966,
Afghanistan,AFG,2020-04-02,160.575813316141,62.7325357742537,386.220693691557,
Afghanistan,AFG,2020-04-03,219.721051448064,86.8555597183237,518.436915185511,
Afghanistan,AFG,2020-04-04,197.427988457495,78.8429405348476,458.35435169306,
Afghanistan,AFG,2020-04-05,223.976199358201,90.519058586888,513.025056648541,39.143
Afghanistan,AFG,2020-04-06,251.056008122458,102.612083132177,567.377843708732,
Afghanistan,AFG,2020-04-07,263.632149585617,108.903348817017,589.147527611944,
Afghanistan,AFG,2020-04-08,267.279007668863,111.634522757908,591.38237433351,
Afghanistan,AFG,2020-04-09,302.885880448242,127.8754786075,664.639305922935,
Afghanistan,AFG,2020-04-10,321.079719913049,136.943202296975,699.813409897294,
Afghanistan,AFG,2020-04-11,361.742739119142,155.554854920544,783.459946608754,
Afghanistan,AFG,2020-04-12,352.67779670741,152.485037589432,760.945079788893,74.429
Afghanistan,AFG,2020-04-13,371.967082411668,162.350743870936,798.378333798967,
Afghanistan,AFG,2020-04-14,385.659775726425,168.916535409665,825.455831688234,
Afghanistan,AFG,2020-04-15,396.325122905023,173.362788371791,845.456400381467,
Afghanistan,AFG,2020-04-16,399.673766463029,175.183656259677,850.866926547595,
Afghanistan,AFG,2020-04-17,332.04772338569,145.659607968879,706.16811945304,
Afghanistan,AFG,2020-04-18,335.165680896132,147.401165261238,711.118012916688,
Afghanistan,AFG,2020-04-19,352.12681671402,155.169576856532,746.64855269538,129.571
Afghanistan,AFG,2020-04-20,373.684889013616,165.072743015629,791.574432003611,
Afghanistan,AFG,2020-04-21,338.229788801877,149.6925098268,715.304381102978,
Afghanistan,AFG,2020-04-22,335.755602948673,148.94998547691,708.909554698759,
Afghanistan,AFG,2020-04-23,334.471593016546,148.910885493159,704.286927264582,
Afghanistan,AFG,2020-04-24,399.010572294949,178.160837653549,838.03592159189,
Afghanistan,AFG,2020-04-25,398.053913537386,178.585391180709,833.701381120865,
