date,location,cases,deaths,tests,percent_positivity,CFR,sequences,sequencing_rate,sero_study_participants,avg_seroprevalence,ICL_estimate_mean,IHME_estimate_mean,LSHTM_estimate_median,YYG_estimate_mean,sequence_contribution,estimate_contribution,ideal_sequences,case_contribution,apparent_sequences
2020-02-01,Afghanistan,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,14952.619999999995,0.0,0.0,NaN,0.003949784002238138,0.31756586856705493,0.0,0.0
2020-02-01,Africa,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.28600000000000003,NaN,0.0,0.0,1.3120948907024957e-05,0.0010549350378963103
2020-02-01,Albania,0.0,0.0,26.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,5186.450000000002,0.0,0.0,NaN,0.0013700179124733994,0.11015056217770551,0.0,0.0
2020-02-01,Algeria,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,15354.79,0.0,0.0,NaN,0.00405601853720125,0.3261072121818605,0.0,0.0
2020-02-01,American Samoa,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Andorra,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,188.25000000000003,0.0,0.0,NaN,4.9726859802585084e-05,0.003998080253343435,0.0,0.0
2020-02-01,Angola,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2957.12,0.0,0.0,NaN,0.0007811330234232158,0.062803734814167,0.0,0.0
2020-02-01,Anguilla,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Antigua and Barbuda,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Argentina,0.0,0.0,102.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,1803.78,0.0,0.0,NaN,0.0004764744497992399,0.03830893598606014,0.0,0.0
2020-02-01,Armenia,0.0,0.0,118.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,3560.99,0.0,0.0,NaN,0.0009406472801509027,0.07562881169377655,0.0,0.0
2020-02-01,Aruba,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Asia,75958.0,2400.0,0.0,NaN,0.03159640854156244,NaN,NaN,NaN,NaN,0.0,0.0,0.0,27212.905,NaN,0.0,0.0,0.9966410370798016,80.13075560852793
2020-02-01,Australia,18.0,0.0,0.0,NaN,0.0,24.0,1.3333333333333333,NaN,NaN,0.0,6226.009999999998,0.0,7.786000000000001,0.012320328542094456,0.0016446211229720724,0.13222888519584994,0.0002361770803264492,0.018988830682133584
2020-02-01,Austria,0.0,0.0,0.0,NaN,NaN,8.0,NaN,NaN,NaN,0.0,5012.65,0.0,0.0,0.004106776180698152,0.001324108067938529,0.10645937307793873,0.0,0.0
2020-02-01,Azerbaijan,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4364.27,0.0,0.0,NaN,0.001152836347573057,0.09268898649274451,0.0,0.0
2020-02-01,Bahamas,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,73.63999999999999,0.0,0.0,NaN,1.9452249433531815e-05,0.0015639767854247568,0.0,0.0
2020-02-01,Bahrain,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2797.15,0.0,0.0,NaN,0.0007388764191065118,0.05940626921986501,0.0,0.0
2020-02-01,Bangladesh,0.0,0.0,0.0,NaN,NaN,1.0,NaN,NaN,NaN,0.0,18805.43,0.0,0.0,0.000513347022587269,0.004967516500065485,0.39939239489313266,0.0,0.0
2020-02-01,Barbados,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,29.06,0.0,0.0,NaN,7.676295064345935e-06,0.0006171804098919532,0.0,0.0
2020-02-01,Belarus,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2095.11,0.0,0.0,NaN,0.000553430232355878,0.04449624392872438,0.0,0.0
2020-02-01,Belgium,1.0,0.0,0.0,NaN,0.0,4.0,4.0,NaN,NaN,0.0,8746.58,0.0,0.45299999999999996,0.002053388090349076,0.002310438020781379,0.18576110906926224,1.3120948907024957e-05,0.0010549350378963103
2020-02-01,Belize,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,11.36,0.0,0.0,NaN,3.000781553027179e-06,0.00024126529443814832,0.0,0.0
2020-02-01,Benin,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1545.21,0.0,0.0,NaN,0.0004081723295381274,0.03281738957911718,0.0,0.0
2020-02-01,Bermuda,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Bhutan,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Bolivia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,502.27,0.0,0.0,NaN,0.00013267628086610574,0.010667281640620488,0.0,0.0
2020-02-01,Bonaire Sint Eustatius and Saba,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Bosnia and Herzegovina,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1899.6,0.0,0.0,NaN,0.000501785619553735,0.04034397476361853,0.0,0.0
2020-02-01,Botswana,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Brazil,0.0,0.0,0.0,NaN,NaN,9.0,NaN,3240.0,0.012219444444444448,0.0,96122.62,0.0,0.0,0.004620123203285421,0.02539110782787336,2.0414658641255494,0.0,0.0
2020-02-01,British Virgin Islands,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Brunei,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Bulgaria,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1579.4499999999996,0.0,0.0,NaN,0.0004172169387261247,0.03354458356517018,0.0,0.0
2020-02-01,Burkina Faso,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,217851.87,0.0,0.0,NaN,0.057546291618703796,4.626768975303803,0.0,0.0
2020-02-01,Burundi,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Cambodia,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,4320.839999999998,0.0,0.45299999999999996,NaN,0.0011413641695054535,0.09176661398064509,1.3120948907024957e-05,0.0010549350378963103
2020-02-01,Cameroon,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,11596.96,0.0,0.0,NaN,0.003063375320351591,0.24629788459396373,0.0,0.0
2020-02-01,Canada,8.0,0.0,157.0,0.050955414012738856,0.0,16.0,2.0,NaN,NaN,0.0,2597.9,0.0,3.4530000000000003,0.008213552361396304,0.0006862438729409603,0.0551745694032452,0.00010496759125619965,0.008439480303170483
2020-02-01,Cape Verde,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,242.61,0.0,0.0,NaN,6.408623350175387e-05,0.005152585658771053,0.0,0.0
2020-02-01,Cayman Islands,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Central African Republic,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Chad,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1696.77,0.0,0.0,NaN,0.00044820740455369073,0.03603624239822332,0.0,0.0
2020-02-01,Chile,0.0,0.0,0.0,NaN,NaN,1.0,NaN,NaN,NaN,0.0,530.55,0.0,0.0,0.000513347022587269,0.0001401465363519868,0.011267896299661935,0.0,0.0
2020-02-01,China,75057.0,2390.0,0.0,NaN,0.03184246639220858,612.0,0.008153803109636676,76521.0,0.009895413807974282,0.0,464021.14,152171.51331081442,27012.071,0.3141683778234086,0.12257271805692273,9.854946916164193,0.9848190621145722,79.18025913938337
2020-02-01,Colombia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1725.18,0.0,0.0,NaN,0.00045571199996931593,0.03663961801573985,0.0,0.0
2020-02-01,Comoros,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Congo,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3101.97,0.0,0.0,NaN,0.0008193956297573696,0.06588007969967455,0.0,0.0
2020-02-01,Cook Islands,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Costa Rica,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1333.0799999999995,0.0,0.0,NaN,0.00035213748879484773,0.028312142492042836,0.0,0.0
2020-02-01,Cote d'Ivoire,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,91446.07,0.0,0.0,NaN,0.024155781685988746,1.94214463061281,0.0,0.0
2020-02-01,Croatia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1426.67,0.0,0.0,NaN,0.000376859596677578,0.03029982021268249,0.0,0.0
2020-02-01,Cuba,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,747.78,0.0,0.0,NaN,0.00019752855895445985,0.01588145791152804,0.0,0.0
2020-02-01,Curacao,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Cyprus,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,213.72000000000003,0.0,0.0,NaN,5.6454844499381055e-05,0.004539015733038825,0.0,0.0
2020-02-01,Czechia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2815.11,0.0,0.0,NaN,0.0007436206124773189,0.05978770625226899,0.0,0.0
2020-02-01,Democratic Republic of Congo,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,99212.84,0.0,0.0,NaN,0.02620739965628847,2.1070963956553608,0.0,0.0
2020-02-01,Denmark,0.0,0.0,294.0,0.0,NaN,2.0,NaN,NaN,NaN,0.0,8372.37,0.0,0.0,0.001026694045174538,0.0022115892122463177,0.17781358390802113,0.0,0.0
2020-02-01,Djibouti,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Dominica,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Dominican Republic,0.0,0.0,0.0,NaN,NaN,1.0,NaN,NaN,NaN,0.0,7623.219999999998,0.0,0.0,0.000513347022587269,0.002013698763263015,0.16190302974179407,0.0,0.0
2020-02-01,Ecuador,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,10233.34,0.0,0.0,NaN,0.0027031705895999257,0.21733712924169726,0.0,0.0
2020-02-01,Egypt,1.0,0.0,0.0,NaN,0.0,NaN,NaN,NaN,NaN,0.0,37774.9,0.0,0.28600000000000003,NaN,0.00997836470840197,0.8022686946189796,1.3120948907024957e-05,0.0010549350378963103
2020-02-01,El Salvador,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,343.8400000000001,0.0,0.0,NaN,9.082647264021704e-05,0.0073025227851771955,0.0,0.0
2020-02-01,Equatorial Guinea,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1020.93,0.0,0.0,NaN,0.0002696820344130315,0.021682656430522775,0.0,0.0
2020-02-01,Eritrea,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Estonia,0.0,0.0,40.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,342.27,0.0,0.0,NaN,9.041175195022997e-05,0.007269178902055019,0.0,0.0
2020-02-01,Eswatini,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
2020-02-01,Ethiopia,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1538.9999999999998,0.0,0.0,NaN,0.0004065319375095799,0.032685500716576596,0.0,0.0
2020-02-01,Europe,195.0,9.0,0.0,NaN,0.04615384615384616,NaN,NaN,NaN,NaN,0.0,0.0,0.0,58.0,NaN,0.0,0.0,0.0025585850368698665,0.2057123323897805
2020-02-01,European Union,142.0,7.0,0.0,NaN,0.04929577464788732,NaN,NaN,NaN,NaN,0.0,0.0,0.0,36.643,NaN,0.0,0.0,0.0018631747447975437,0.14980077538127606
2020-02-01,Faeroe Islands,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0
2020-02-01,Falkland Islands,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0
