location,date,ICL_estimate_mean,IHME_estimate_mean,LSHTM_estimate_median,YYG_estimate_mean
Afghanistan,2020-02,0.0,14952.619999999997,0.0,0.0
Afghanistan,2020-03,0.0,287384.17,584.0992700386425,17.715
Afghanistan,2020-04,0.0,1388003.35,10112.147235805336,433.0
Afghanistan,2020-05,0.0,4292277.64,34926.845034215046,5025.571
Afghanistan,2020-06,0.0,4324719.37,104375.65224209025,13513.429
Afghanistan,2020-07,0.0,1350483.0299999998,49762.68022206939,12633.571
Afghanistan,2020-08,627495.6099999998,610169.16,4023.500339065985,5325.0
Afghanistan,2020-09,700271.8999999999,667823.3999999999,0.0,1429.4279999999999
Afghanistan,2020-10,750369.24,2340929.41,0.0,1145.287
Afghanistan,2020-11,843673.4400000001,5506301.43,0.0,3029.999
Afghanistan,2020-12,928165.6799999999,2946713.54,0.0,4944.286
Afghanistan,2021-01,652133.8300000002,581440.5000000001,0.0,5671.858
Afghanistan,2021-02,483883.7299999999,210694.27000000002,0.0,1937.57
Afghanistan,2021-03,838405.2400000001,1024732.39,0.0,756.0
Afghanistan,2021-04,1393160.8,1863070.4100000004,0.0,1116.429
Afghanistan,2021-05,2536805.83,6740251.1899999995,0.0,5674.143
Afghanistan,2021-06,2449197.57,8050463.08,0.0,20944.428
Afghanistan,2021-07,2205148.07,2184805.03,0.0,37657.429000000004
Afghanistan,2021-08,1716164.2,272501.83,0.0,27317.572
Afghanistan,2021-09,1238661.1000000003,137503.11,0.0,4917.0
Afghanistan,2021-10,1049612.4700000002,217580.14999999997,0.0,1859.714
Afghanistan,2021-11,740680.9900000001,301813.14,0.0,988.2860000000001
Afghanistan,2021-12,890592.8800000001,3707424.0199999996,0.0,984.429
Afghanistan,2022-01,4929241.82,18337138.12,0.0,1534.4279999999999
Afghanistan,2022-02,8995796.06,4585894.260000001,0.0,6981.429
Afghanistan,2022-03,3579830.4899999998,1169190.9400000002,0.0,8474.001
Afghanistan,2022-04,1279643.37,905419.93,0.0,3331.572
Afghanistan,2022-05,860127.2499999999,1912279.0700000003,0.0,1481.7150000000001
Afghanistan,2022-06,1046892.2799999998,2821911.0799999996,0.0,1494.2849999999999
Afghanistan,2022-07,1207453.81,8483284.239999998,0.0,2667.857
Afghanistan,2022-08,1576923.7099999997,8919133.440000001,0.0,4144.571
Afghanistan,2022-09,1184893.61,6025419.31,0.0,6335.572
Afghanistan,2022-10,1241125.02,4554343.579999999,0.0,6345.999
Afghanistan,2022-11,1154302.02,4396377.170000001,0.0,3403.0
Afghanistan,2022-12,970582.66,2741652.05,0.0,2491.429
Afghanistan,2023-01,0.0,0.0,0.0,1725.857
Afghanistan,2023-02,0.0,0.0,0.0,888.2860000000001
Afghanistan,2023-03,0.0,0.0,0.0,792.286
Afghanistan,2023-04,0.0,0.0,0.0,2518.571
Afghanistan,2023-05,0.0,0.0,0.0,4987.143
Afghanistan,2023-06,0.0,0.0,0.0,4616.858
Afghanistan,2023-07,0.0,0.0,0.0,2040.1419999999998
Afghanistan,2023-08,0.0,0.0,0.0,864.0
Afghanistan,2023-09,0.0,0.0,0.0,900.143
Afghanistan,2023-10,0.0,0.0,0.0,1251.857
Afghanistan,2023-11,0.0,0.0,0.0,1318.714
Afghanistan,2023-12,0.0,0.0,0.0,1581.4279999999999
Afghanistan,2024-01,0.0,0.0,0.0,539.8580000000001
Africa,2020-02,0.0,0.0,0.0,0.28600000000000003
Africa,2020-03,0.0,0.0,0.0,900.001
Africa,2020-04,0.0,0.0,0.0,10986.429
Africa,2020-05,0.0,0.0,0.0,59186.573000000004
Africa,2020-06,0.0,0.0,0.0,135621.572
Africa,2020-07,0.0,0.0,0.0,297170.00999999995
Africa,2020-08,0.0,0.0,0.0,508276.43
Africa,2020-09,0.0,0.0,0.0,283244.71
Africa,2020-10,0.0,0.0,0.0,231817.715
Africa,2020-11,0.0,0.0,0.0,368067.575
Africa,2020-12,0.0,0.0,0.0,395174.13
Africa,2021-01,0.0,0.0,0.0,755613.99
Africa,2021-02,0.0,0.0,0.0,598083.29
Africa,2021-03,0.0,0.0,0.0,350792.29
Africa,2021-04,0.0,0.0,0.0,308622.44
Africa,2021-05,0.0,0.0,0.0,371211.43
Africa,2021-06,0.0,0.0,0.0,347297.71
Africa,2021-07,0.0,0.0,0.0,725542.0
