location,date,sero_study_participants,avg_seroprevalence
Afghanistan,2020-06,9514,0.25296405297456376
Albania,2020-06,266,0.043
Albania,2020-12,815,0.448
Argentina,2020-06,2600,0.35452307692307694
Argentina,2020-07,884,0.07472398190045249
Argentina,2020-12,10850,0.14330740092165897
Argentina,2021-03,2961,0.3460442418101992
Australia,2020-05,10115,0.0004
Australia,2020-06,2991,0.0
Australia,2020-07,11317,0.00035465229301051516
Australia,2021-01,1685,0.0006
Australia,2022-02,31102,0.838143559899685
Australia,2022-06,25693,0.8759766862569572
Australia,2022-08,25025,0.9200947452547452
Australia,2022-12,14988,0.5619588337336535
Austria,2020-03,612,0.07839493464052287
Austria,2020-04,3030,0.38395577557755783
Austria,2020-05,134,0.005988059701492537
Austria,2020-07,18744,0.017175469483568077
Austria,2020-08,3010,0.016
Austria,2020-11,3030,0.13898415841584158
Austria,2021-02,3082,0.084
Austria,2021-04,812,0.1
Austria,2021-10,4230,0.838
Austria,2021-11,7017,0.5315998289867464
Austria,2021-12,5797,0.5943655338968432
Austria,2022-01,4567,0.928
Austria,2022-02,3059,0.9449999999999998
Austria,2022-03,3753,0.952
Austria,2022-04,2756,0.949
Bangladesh,2020-07,7746,0.2300516395558998
Bangladesh,2020-12,12880,0.6489514751552795
Bangladesh,2021-05,4348,0.47654484820607174
Bangladesh,2021-06,748,0.634
Belarus,2021-05,40487,0.3606304245807297
Belgium,2020-03,584,0.006
Belgium,2020-04,27479,0.027155919065468184
Belgium,2020-05,15807,0.04799307901562599
Belgium,2020-06,17123,0.04536483092915961
Belgium,2020-07,14337,0.04091344772267559
Belgium,2020-08,2409,0.04042299709422997
Belgium,2020-09,13238,0.025384166792566852
Belgium,2020-10,12132,0.042318067919551595
Belgium,2020-11,2163,0.11522746185852983
Belgium,2020-12,6994,0.12835659136402633
Belgium,2021-01,5253,0.20297525223681703
Belgium,2021-02,7406,0.6216930866864704
Belgium,2021-03,8732,0.45721402885936785
Belgium,2021-04,7206,0.7847403552595058
Belgium,2021-05,3018,0.34675115970841613
Belgium,2021-06,9355,0.6336629609834313
Belgium,2021-08,2397,0.7202169378389655
Belgium,2021-09,3208,0.6141178304239402
Benin,2021-03,2810,0.22710110320284696
Benin,2021-06,2920,0.312225
Benin,2021-08,1470,0.27256088435374154
Bolivia (Plurinational State of),2021-01,783,0.388
Bosnia and Herzegovina,2020-11,1015,0.172
Bosnia and Herzegovina,2021-11,1152,0.8980000000000001
Brazil,2020-02,3240,0.012219444444444448
Brazil,2020-03,6572,0.02704351795496044
Brazil,2020-04,19783,0.015539149775059394
Brazil,2020-05,40179,0.05153492869409393
Brazil,2020-06,184799,0.023387060536041865
Brazil,2020-07,62100,0.07918534621578102
Brazil,2020-08,19332,0.10994304779639974
Brazil,2020-09,33350,0.11261752623688155
Brazil,2020-10,21421,0.31349232995658466
Brazil,2020-11,83,0.17
Brazil,2020-12,113,0.177
Brazil,2021-01,19750,0.3191940759493671
Brazil,2021-02,13402,0.15614047157140726
Brazil,2021-03,5527,0.145
Brazil,2021-04,6374,0.25973423282083463
Brazil,2021-06,5935,0.5016603201347937
Brazil,2021-07,1384,0.096
Bulgaria,2020-04,586,0.032
Burkina Faso,2020-10,998,0.021
Burkina Faso,2021-02,1149,0.4095874673629243
Burkina Faso,2021-03,221,0.404
Cameroon,2020-07,999,0.27
Cameroon,2020-11,3884,0.258009526261586
Cameroon,2021-06,106,0.847
Canada,2020-03,7848,0.0009380746687054028
Canada,2020-04,55066,0.006070963026186758
Canada,2020-05,10089,0.0029688472593914165
Canada,2020-06,443875,0.006862321171500986
Canada,2020-07,70996,0.004532919037692264
Canada,2020-08,65382,0.006278593649628339
Canada,2020-09,84289,0.009302950562944157
Canada,2020-10,259546,0.006600584867422345
Canada,2020-11,252864,0.009632796206656542
Canada,2020-12,262506,0.01235728059549115
Canada,2021-01,597461,0.0240419291803147
Canada,2021-02,54844,0.12341112427977535
Canada,2021-03,319026,0.06472355450652925
Canada,2021-04,290965,0.14042051277645076
Canada,2021-05,279783,0.33742299174717544
Canada,2021-06,285768,0.47771440819126
Canada,2021-07,152717,0.5291949494817211
Canada,2021-08,133938,0.49415072421568196
Canada,2021-09,137408,0.4991662734338611
Canada,2021-10,140031,0.5109865644035962
Canada,2021-11,123654,0.5438386594853382
Canada,2021-12,233360,0.5496731303565306
Canada,2022-01,446491,0.5811223386361651
Canada,2022-02,28616,0.9945
Canada,2022-03,35646,0.8242554339897885
Canada,2022-04,410034,0.6633268382621929
Canada,2022-05,436536,0.7449943537302767
Canada,2022-06,441757,0.7658422854646333
Canada,2022-07,398818,0.7654675864680129
Canada,2022-08,491685,0.7990969460121826
Canada,2022-09,434694,0.8246678111499122
Canada,2022-10,435113,0.8434293429522907
Canada,2022-11,430965,0.8593536960077963
Canada,2022-12,469728,0.877356686422781
Canada,2023-01,460915,0.8911168093900176
Canada,2023-02,15445,1.0
Chad,2021-09,2700,0.677
Chile,2020-05,6357,0.0617562372188139
Chile,2020-06,892,0.19294730941704036
Chile,2020-10,12060,0.08002247097844113
Chile,2021-12,4604,0.8398579496090357
China,2020-01,580,0.0146
China,2020-02,76521,0.009895413807974282
China,2020-03,127786,0.0246796206157169
China,2020-04,277912,0.036090215247992184
China,2020-05,293998,0.022287134266219498
China,2020-06,59060,0.00023539112766677954
China,2020-07,6594,0.00015128905065210798
China,2020-10,8396,0.00055
Colombia,2020-07,563,0.0754968028419183
Colombia,2020-08,2736,0.5213505116959064
Colombia,2020-10,74610,0.30900584372068085
Colombia,2020-11,7045,0.18600000000000005
Congo,2021-06,3339,0.2869095537586104
Croatia,2020-04,1494,0.0077
Croatia,2020-06,3147,0.01084842707340324
Croatia,2020-10,512,0.16399999999999998
Croatia,2021-01,5533,0.20905711187420933
Czechia,2020-04,22271,0.003030877823178124
Czechia,2020-07,200,0.0
Czechia,2020-10,3626,0.261
Czechia,2020-12,6880,0.408
Czechia,2021-03,19548,0.503
Czechia,2021-06,196,0.388
Côte d'Ivoire,2021-02,286,0.1
Democratic Republic of the Congo,2020-10,3240,0.131666975308642
Democratic Republic of the Congo,2021-03,9325,0.6224530831099195
Democratic Republic of the Congo,2021-08,1014,0.658
Democratic Republic of the Congo,2021-10,2197,0.862
Denmark,2020-04,116024,0.020206477970075156
Denmark,2020-05,15509,0.010282145850796311
Denmark,2020-06,47410,0.023510894326091547
Denmark,2020-09,22956,0.015000000000000001
Denmark,2020-10,43094,0.0218697776952708
Denmark,2020-11,18505,0.0226
Denmark,2020-12,8088,0.0325
Denmark,2021-02,33832,0.07990228777488768
Denmark,2021-03,11275,0.066
Denmark,2021-05,5139,0.076
Denmark,2021-11,43505,0.008938259970118378
Denmark,2022-01,4722,0.10999999999999999
Denmark,2022-02,11157,0.22711212691583757
Denmark,2022-03,18507,0.4744086021505376
Dominican Republic,2021-08,33415,0.8099572048481222
Ecuador,2020-09,4914,0.10972161172161173
Ecuador,2020-10,5000,0.09154783999999999
Egypt,2020-05,455,0.058
Egypt,2020-08,5854,0.28235000000000005
Egypt,2021-03,7080,0.43182175141242946
Estonia,2020-06,4050,0.019596543209876548
Estonia,2021-02,2626,0.10289999999999999
Estonia,2021-03,7416,0.18303621898597627
Estonia,2021-04,2491,0.3397
Estonia,2021-05,2290,0.47450000000000003
Estonia,2021-06,2330,0.6596
Estonia,2021-09,2302,0.7491
Estonia,2021-10,2312,0.743
Estonia,2021-12,2290,0.7809999999999999
Estonia,2022-01,2301,0.8
Estonia,2022-03,2308,0.8740000000000001
Estonia,2022-04,2304,0.8470000000000001
Estonia,2022-05,2228,0.8320000000000001
Estonia,2022-06,2439,0.8490000000000001
Estonia,2022-08,2431,0.854
Estonia,2022-09,2184,0.904
Estonia,2022-10,2056,0.901
Estonia,2022-11,1995,0.885
Estonia,2022-12,1876,0.892
